id_municipio;nombre_municipio;id_departamento
461;Quebradanegra;3
462;Quetame;3
463;Quipile;3
464;Apulo;3
465;Ricaurte;3
466;San Bernardo;3
467;San Cayetano;3
468;San Francisco;3
469;Sesquilé;3
470;Sibaté;3
471;Silvania;3
472;Simijaca;3
473;Soacha;3
474;Subachoque;3
475;Suesca;3
476;Supatá;3
477;Susa;3
478;Sutatausa;3
479;Tabio;3
480;Tausa;3
481;Tena;3
482;Tenjo;3
483;Tibacuy;3
484;Tibirita;3
485;Tocaima;3
486;Tocancipá;3
487;Topaipí;3
488;Ubalá;3
489;Ubaque;3
490;Une;3
491;Útica;3
492;Vianí;3
493;Villagómez;3
494;Villapinzón;3
495;Villeta;3
496;Viotá;3
497;Zipacón;3
498;Quibdó;12
499;Acandí;12
500;Alto Baudo;12
501;Atrato;12
502;Bagadó;12
503;Bahía Solano;12
504;Bajo Baudó;12
505;Bojaya;12
506;Cértegui;12
507;Condoto;12
508;Juradó;12
509;Lloró;12
510;Medio Atrato;12
511;Medio Baudó;12
512;Medio San Juan;12
513;Nóvita;12
514;Nuquí;12
515;Río Iro;12
516;Río Quito;12
517;Riosucio;12
518;Sipí;12
519;Unguía;12
520;Neiva;11
521;Acevedo;11
522;Agrado;11
523;Aipe;11
524;Algeciras;11
525;Altamira;11
526;Baraya;11
527;Campoalegre;11
528;Colombia;11
529;Elías;11
530;Garzón;11
531;Gigante;11
532;Guadalupe;11
533;Hobo;11
534;Iquira;11
535;Isnos;11
536;La Argentina;11
537;La Plata;11
538;Nátaga;11
539;Oporapa;11
540;Paicol;11
541;Palermo;11
542;Palestina;11
543;Pital;11
544;Pitalito;11
545;Rivera;11
546;Saladoblanco;11
547;Santa María;11
548;Suaza;11
549;Tarqui;11
550;Tesalia;11
551;Tello;11
552;Teruel;11
553;Timaná;11
554;Villavieja;11
555;Yaguará;11
556;Riohacha;22
557;Albania;22
558;Barrancas;22
559;Dibula;22
560;Distracción;22
561;El Molino;22
562;Fonseca;22
563;Hatonuevo;22
564;Maicao;22
565;Manaure;22
566;Uribia;22
567;Urumita;22
568;Villanueva;22
569;Santa Marta;14
570;Algarrobo;14
571;Aracataca;14
572;Ariguaní;14
573;Cerro San Antonio;14
574;Chivolo;14
575;Concordia;14
576;El Banco;14
577;El Piñon;14
578;El Retén;14
579;Fundación;14
580;Guamal;14
581;Nueva Granada;14
582;Pedraza;14
583;Pivijay;14
584;Plato;14
585;Remolino;14
586;Salamina;14
587;San Zenón;14
588;Santa Ana;14
589;Sitionuevo;14
590;Tenerife;14
591;Zapayán;14
592;Zona Bananera;14
593;Villavicencio;15
594;Acacias;15
595;Cabuyaro;15
596;Cubarral;15
597;Cumaral;15
598;El Calvario;15
599;El Castillo;15
600;El Dorado;15
601;Granada;15
602;Guamal;15
603;Mapiripán;15
604;Mesetas;15
605;La Macarena;15
606;Lejanías;15
607;Puerto Concordia;15
608;Puerto Gaitán;15
609;Puerto López;15
610;Puerto Lleras;15
611;Puerto Rico;15
612;Restrepo;15
613;San Juanito;15
614;San Martín;15
615;Vista Hermosa;15
616;Pasto;5
617;Albán;5
618;Aldana;5
619;Ancuyá;5
620;Barbacoas;5
621;Colón;5
622;Consaca;5
623;Contadero;5
624;Córdoba;5
625;Cuaspud;5
626;Cumbal;5
627;Cumbitara;5
628;El Charco;5
629;El Peñol;5
630;El Rosario;5
631;El Tambo;5
632;Funes;5
633;Guachucal;5
634;Guaitarilla;5
635;Gualmatán;5
636;Iles;5
637;Imués;5
638;Ipiales;5
639;La Cruz;5
640;La Florida;5
641;La Llanada;5
642;La Tola;5
643;La Unión;5
644;Leiva;5
645;Linares;5
646;Los Andes;5
647;Magüí;5
648;Mallama;5
649;Mosquera;5
650;Nariño;5
651;Olaya Herrera;5
652;Ospina;5
653;Francisco Pizarro;5
654;Policarpa;5
655;Potosí;5
656;Providencia;5
657;Puerres;5
658;Pupiales;5
659;Ricaurte;5
660;Roberto Payán;5
661;Samaniego;5
662;Sandoná;5
663;San Bernardo;5
664;San Lorenzo;5
665;San Pablo;5
666;Santa Bárbara;5
667;Sapuyes;5
668;Taminango;5
669;Tangua;5
670;Túquerres;5
671;Yacuanquer;5
672;Armenia;25
673;Buenavista;25
674;Circasia;25
675;Córdoba;25
676;Filandia;25
677;La Tebaida;25
678;Montenegro;25
679;Pijao;25
680;Quimbaya;25
681;Salento;25
682;Pereira;23
683;Apía;23
684;Balboa;23
685;Dosquebradas;23
686;Guática;23
687;La Celia;23
688;La Virginia;23
689;Marsella;23
690;Mistrató;23
691;Pueblo Rico;23
692;Quinchía;23
693;Santuario;23
694;Bucaramanga;4
695;Aguada;4
696;Albania;4
697;Aratoca;4
698;Barbosa;4
699;Barichara;4
700;Barrancabermeja;4
701;Betulia;4
702;Bolívar;4
703;Cabrera;4
704;California;4
705;Carcasí;4
706;Cepitá;4
707;Cerrito;4
708;Charalá;4
709;Charta;4
710;Chipatá;4
711;Cimitarra;4
712;Concepción;4
713;Confines;4
714;Contratación;4
715;Coromoro;4
716;Curití;4
717;El Guacamayo;4
718;El Playón;4
719;Encino;4
720;Enciso;4
721;Florián;4
722;Floridablanca;4
723;Galán;4
724;Gambita;4
725;Girón;4
726;Guaca;4
727;Guadalupe;4
728;Guapotá;4
729;Guavatá;4
730;Güepsa;4
731;Jesús María;4
732;Jordán;4
733;La Belleza;4
734;Landázuri;4
735;La Paz;4
736;Lebríja;4
737;Los Santos;4
738;Macaravita;4
739;Málaga;4
740;Matanza;4
741;Mogotes;4
742;Molagavita;4
743;Ocamonte;4
744;Oiba;4
745;Onzaga;4
746;Palmar;4
747;Páramo;4
748;Piedecuesta;4
749;Pinchote;4
750;Puente Nacional;4
751;Rionegro;4
752;San Andrés;4
753;San Gil;4
754;San Joaquín;4
755;San Miguel;4
756;Santa Bárbara;4
757;Simacota;4
758;Socorro;4
759;Suaita;4
760;Sucre;4
761;Suratá;4
762;Tona;4
763;Vélez;4
764;Vetas;4
765;Villanueva;4
766;Zapatoca;4
767;Sincelejo;17
768;Buenavista;17
769;Caimito;17
770;Coloso;17
771;Coveñas;17
772;Chalán;17
773;El Roble;17
774;Galeras;17
775;Guaranda;17
776;La Unión;17
777;Los Palmitos;17
778;Majagual;17
779;Morroa;17
780;Ovejas;17
781;Palmito;17
782;San Benito Abad;17
783;San Marcos;17
784;San Onofre;17
785;San Pedro;17
786;Sucre;17
787;Tolú Viejo;17
788;Alpujarra;6
789;Alvarado;6
790;Ambalema;6
791;Armero;6
792;Ataco;6
793;Cajamarca;6
794;Chaparral;6
795;Coello;6
796;Coyaima;6
797;Cunday;6
798;Dolores;6
799;Espinal;6
800;Falan;6
801;Flandes;6
802;Fresno;6
803;Guamo;6
804;Herveo;6
805;Honda;6
806;Icononzo;6
807;Mariquita;6
808;Melgar;6
809;Murillo;6
810;Natagaima;6
811;Ortega;6
812;Palocabildo;6
813;Piedras;6
814;Planadas;6
815;Prado;6
816;Purificación;6
817;Rio Blanco;6
818;Roncesvalles;6
819;Rovira;6
820;Saldaña;6
821;Santa Isabel;6
822;Venadillo;6
823;Villahermosa;6
824;Villarrica;6
825;Arauquita;28
826;Cravo Norte;28
827;Fortul;28
828;Puerto Rondón;28
829;Saravena;28
830;Tame;28
831;Arauca;28
832;Yopal;20
833;Aguazul;20
834;Chámeza;20
835;Hato Corozal;20
836;La Salina;20
837;Monterrey;20
838;Pore;20
839;Recetor;20
840;Sabanalarga;20
841;Sácama;20
842;Tauramena;20
843;Trinidad;20
844;Villanueva;20
845;Mocoa;24
846;Colón;24
847;Orito;24
848;Puerto Caicedo;24
849;Puerto Guzmán;24
850;Leguízamo;24
851;Sibundoy;24
852;San Francisco;24
853;San Miguel;24
854;Santiago;24
855;Leticia;26
856;El Encanto;26
857;La Chorrera;26
858;La Pedrera;26
859;La Victoria;26
860;Puerto Arica;26
861;Puerto Nariño;26
862;Puerto Santander;26
863;Tarapacá;26
864;Inírida;27
865;Barranco Minas;27
866;Mapiripana;27
867;San Felipe;27
868;Puerto Colombia;27
869;La Guadalupe;27
870;Cacahual;27
871;Pana Pana;27
872;Mitú;29
873;Carurú;29
874;Taraira;29
875;Papunahua;29
876;Yavaraté;29
877;Pacoa;29
878;Morichal;27
879;Puerto Carreño;30
880;La Primavera;30
881;Santa Rosalía;30
882;Cumaribo;30
883;San José del Fragua;21
884;Barranca de Upía;15
885;Palmas del Socorro;4
886;San Juan de Río Seco;3
887;Juan de Acosta;19
888;Fuente de Oro;15
889;San Luis de Gaceno;20
890;El Litoral del San Juan;12
891;Villa de San Diego de Ubate;3
892;Barranco de Loba;7
893;Togüí;2
894;Santa Rosa del Sur;7
895;El Cantón del San Pablo;12
896;Villa de Leyva;2
897;San Sebastián de Buenavista;14
898;Paz de Río;2
899;Hatillo de Loba;7
900;Sabanas de San Angel;14
901;Calamar;31
902;Río de Oro;18
903;San Pedro de Uraba;1
904;San José del Guaviare;31
905;Santa Rosa de Viterbo;2
906;Santander de Quilichao;9
907;Miraflores;31
908;Santafé de Antioquia;1
909;San Carlos de Guaroa;15
910;Palmar de Varela;19
911;Santa Rosa de Osos;1
912;San Andrés de Cuerquía;1
913;Valle de San Juan;6
914;San Vicente de Chucurí;4
915;San José de Miranda;4
916;Providencia;32
917;Santa Rosa de Cabal;23
918;Guayabal de Siquima;3
919;Belén de Los Andaquies;21
920;Paz de Ariporo;20
921;Santa Helena del Opón;4
922;San Pablo de Borbur;2
923;La Jagua del Pilar;22
924;La Jagua de Ibirico;18
925;San Luis de Sincé;17
926;San Luis de Gaceno;2
927;El Carmen de Bolívar;7
928;El Carmen de Atrato;12
929;San Juan de Betulia;17
930;Pijiño del Carmen;14
931;Vigía del Fuerte;1
932;San Martín de Loba;7
933;Altos del Rosario;7
934;Carmen de Apicala;6
935;San Antonio del Tequendama;3
936;Sabana de Torres;4
937;El Retorno;31
938;San José de Uré;13
939;San Pedro de Cartago;5
940;Campo de La Cruz;19
941;San Juan de Arama;15
942;San José de La Montaña;1
943;Cartagena del Chairá;21
944;San José del Palmar;12
945;Agua de Dios;3
946;San Jacinto del Cauca;7
947;San Agustín;11
948;El Tablón de Gómez;5
949;San Andrés;32
950;San José de Pare;2
951;Valle de Guamez;24
952;San Pablo de Borbur;7
953;Santiago de Tolú;17
954;Bogota;3
955;Carmen de Carupa;3
956;Ciénaga de Oro;13
957;San Juan de Urabá;1
958;San Juan del Cesar;22
